step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
120,12.0,0.271833,-0.006015,-0.741053,0.04,-1.018068,3.141593,1.038267,2.40054,0.011424,-0.002356,-0.004006,0.01249,-0.040061,0.124895
121,12.1,0.272676,-0.006786,-0.741288,0.0,-1.018068,3.063053,1.047398,2.478844,0.008507,0.004777,-0.002918,0.007132,-0.029176,0.071323
122,12.2,0.273303,-0.00736,-0.740811,-0.039877,-1.01493,2.984513,1.05512,2.557861,0.006362,0.008393,-0.002145,0.003617,-0.021447,0.036167
123,12.3,0.273773,-0.00779,-0.739972,-0.079384,-1.008672,2.905973,1.06136,2.637241,0.004774,0.009793,-0.001588,0.001399,-0.015885,0.013994
124,12.4,0.274125,-0.008112,-0.738992,-0.118279,-0.999334,2.827433,1.066069,2.71676,0.00359,0.009864,-0.001184,7.1e-05,-0.011835,0.000712
125,12.5,0.274391,-0.008353,-0.738006,-0.156321,-0.986974,2.748894,1.06921,2.796286,0.002704,0.009198,-0.000886,-0.000666,-0.008857,-0.006656
126,12.6,0.274591,-0.008535,-0.737086,-0.193276,-0.971666,2.670354,1.070757,2.875746,0.002039,0.008176,-0.000665,-0.001022,-0.00665,-0.010218
127,12.7,0.274742,-0.008672,-0.736268,-0.228917,-0.953507,2.591814,1.070693,2.955103,0.001539,0.007034,-0.0005,-0.001143,-0.005004,-0.011427
128,12.8,0.274856,-0.008776,-0.735565,-0.263022,-0.932607,2.513274,1.069007,3.034346,0.001162,0.005908,-0.000377,-0.001126,-0.003772,-0.011259
129,12.9,0.274942,-0.008854,-0.734974,-0.295383,-0.909095,2.434734,1.065695,3.113477,0.000877,0.004873,-0.000285,-0.001035,-0.002845,-0.010353
130,13.0,0.275007,-0.008913,-0.734487,-0.325799,-0.883118,2.356194,1.060756,-3.090681,0.000662,0.003962,-0.000215,-0.000911,-0.002148,-0.009111
131,13.1,0.275056,-0.008957,-0.734091,-0.354084,-0.854833,2.277655,1.054193,-3.011745,0.0005,0.003184,-0.000162,-0.000778,-0.001622,-0.007777
132,13.2,0.275093,-0.00899,-0.733772,-0.380061,-0.824417,2.199115,1.046015,-2.932887,0.000378,0.002535,-0.000123,-0.000649,-0.001225,-0.006493
133,13.3,0.275121,-0.009016,-0.733519,-0.403573,-0.792056,2.120575,1.036233,-2.854094,0.000285,0.002002,-9.3e-05,-0.000533,-0.000925,-0.005328
134,13.4,0.275142,-0.009035,-0.733319,-0.424473,-0.757951,2.042035,1.024859,-2.775354,0.000215,0.00157,-7e-05,-0.000431,-0.000699,-0.004313
135,13.5,0.275158,-0.009049,-0.733162,-0.442632,-0.72231,1.963495,1.011912,-2.696657,0.000162,0.001225,-5.3e-05,-0.000345,-0.000528,-0.003454
136,13.6,0.275171,-0.00906,-0.733039,-0.45794,-0.685355,1.884956,0.99741,-2.617995,0.000123,0.000951,-4e-05,-0.000274,-0.000398,-0.002741
137,13.7,0.27518,-0.009068,-0.732944,-0.4703,-0.647313,1.806416,0.981375,-2.53936,9.3e-05,0.000735,-3e-05,-0.000216,-0.000301,-0.002158
138,13.8,0.275187,-0.009074,-0.732871,-0.479638,-0.608418,1.727876,0.963833,-2.460747,7e-05,0.000566,-2.3e-05,-0.000169,-0.000227,-0.001689
139,13.9,0.275192,-0.009079,-0.732814,-0.485896,-0.568911,1.649336,0.94481,-2.38215,5.3e-05,0.000435,-1.7e-05,-0.000131,-0.000171,-0.001315
140,14.0,0.275196,-0.009083,-0.732771,-0.489034,-0.529034,1.570796,0.924336,-2.303567,4e-05,0.000333,-1.3e-05,-0.000102,-0.000129,-0.001019
141,14.1,0.275199,-0.009085,-0.732737,-0.489034,-0.489034,1.492257,0.902442,-2.224994,3e-05,0.000254,-1e-05,-7.9e-05,-9.8e-05,-0.000786
142,14.2,0.275201,-0.009087,-0.732712,-0.485896,-0.449157,1.413717,0.879164,-2.146429,2.3e-05,0.000194,-7e-06,-6e-05,-7.4e-05,-0.000604
143,14.3,0.275203,-0.009089,-0.732692,-0.479638,-0.40965,1.335177,0.854537,-2.067869,1.7e-05,0.000147,-6e-06,-4.6e-05,-5.6e-05,-0.000463
144,14.4,0.275204,-0.00909,-0.732678,-0.4703,-0.370755,1.256637,0.8286,-1.989315,1.3e-05,0.000112,-4e-06,-3.5e-05,-4.2e-05,-0.000354
145,14.5,0.275205,-0.009091,-0.732666,-0.45794,-0.332713,1.178097,0.801394,-1.910764,1e-05,8.5e-05,-3e-06,-2.7e-05,-3.2e-05,-0.00027
146,14.6,0.275205,-0.009092,-0.732658,-0.442632,-0.295758,1.099557,0.772961,-1.832215,7e-06,6.4e-05,-2e-06,-2.1e-05,-2.4e-05,-0.000206
147,14.7,0.275206,-0.009092,-0.732652,-0.424473,-0.260117,1.021018,0.743347,-1.753669,6e-06,4.9e-05,-2e-06,-1.6e-05,-1.8e-05,-0.000157
148,14.8,0.275206,-0.009092,-0.732647,-0.403573,-0.226012,0.942478,0.712598,-1.675124,4e-06,3.7e-05,-1e-06,-1.2e-05,-1.4e-05,-0.000119
149,14.9,0.275207,-0.009093,-0.732643,-0.380061,-0.193651,0.863938,0.680763,-1.596581,3e-06,2.8e-05,-1e-06,-9e-06,-1e-05,-9e-05
150,15.0,0.275207,-0.009093,-0.73264,-0.354084,-0.163235,0.785398,0.647894,-1.518038,2e-06,2.1e-05,-1e-06,-7e-06,-8e-06,-6.8e-05
151,15.1,0.275207,-0.009093,-0.732638,-0.325799,-0.13495,0.706858,0.614043,-1.439496,2e-06,1.6e-05,-1e-06,-5e-06,-6e-06,-5.2e-05
152,15.2,0.275207,-0.009093,-0.732636,-0.295383,-0.108973,0.628319,0.579266,-1.360955,1e-06,1.2e-05,-0.0,-4e-06,-4e-06,-3.9e-05
153,15.3,0.275207,-0.009093,-0.732635,-0.263022,-0.085461,0.549779,0.543621,-1.282414,1e-06,9e-06,-0.0,-3e-06,-3e-06,-2.9e-05
154,15.4,0.275207,-0.009093,-0.732634,-0.228917,-0.064561,0.471239,0.507167,-1.203873,1e-06,7e-06,-0.0,-2e-06,-3e-06,-2.2e-05
155,15.5,0.275208,-0.009093,-0.732634,-0.193276,-0.046402,0.392699,0.469967,-1.125333,1e-06,5e-06,-0.0,-2e-06,-2e-06,-1.7e-05
156,15.6,0.275208,-0.009093,-0.732633,-0.156321,-0.031094,0.314159,0.432089,-1.046792,0.0,4e-06,-0.0,-1e-06,-1e-06,-1.3e-05
157,15.7,0.275208,-0.009093,-0.732633,-0.118279,-0.018734,0.235619,0.393605,-0.968252,0.0,3e-06,-0.0,-1e-06,-1e-06,-1e-05
158,15.8,0.275208,-0.009093,-0.732633,-0.079384,-0.009396,0.15708,0.354592,-0.889712,0.0,2e-06,-0.0,-1e-06,-1e-06,-7e-06
159,15.9,0.275208,-0.009093,-0.732632,-0.039877,-0.003138,0.07854,0.315141,-0.811172,0.0,2e-06,-0.0,-1e-06,-1e-06,-5e-06
