step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
115,11.5,0.353931,-0.021496,5.471716,0.233276,-0.971666,3.534292,0.9578,1.937424,0.294627,-0.883126,0.008265,0.07,0.082648,0.7
116,11.6,0.374214,-0.042866,5.383403,0.196321,-0.986974,3.455752,0.960722,1.927652,0.326689,-0.815514,0.032062,0.067613,0.320619,0.676128
117,11.7,0.394527,-0.068452,5.301852,0.158279,-0.999334,3.377212,0.960394,1.92464,0.32253,-0.745514,-0.004159,0.07,-0.041589,0.7
118,11.8,0.412457,-0.095261,5.227301,0.119384,-1.008672,3.298672,0.959276,1.928628,0.341775,-0.675514,0.019246,0.07,0.192456,0.7
119,11.9,0.429288,-0.125007,5.159749,0.079877,-1.01493,3.220132,0.95606,1.939617,0.372828,-0.610506,0.031052,0.065008,0.31052,0.650081
120,12.0,0.445416,-0.158621,5.098699,0.04,-1.018068,3.141593,0.950269,1.957106,0.406411,-0.560623,0.033584,0.049882,0.335836,0.498824
121,12.1,0.460729,-0.196267,5.042636,0.0,-1.018068,3.063053,0.94214,1.979584,0.43586,-0.525037,0.029449,0.035586,0.294491,0.355863
122,12.2,0.474863,-0.237498,4.990133,-0.039877,-1.01493,2.984513,0.932393,2.00562,0.457012,-0.502789,0.021152,0.022247,0.211515,0.222474
123,12.3,0.487393,-0.281448,4.939854,-0.079384,-1.008672,2.905973,0.922004,2.033881,0.467956,-0.492817,0.010944,0.009973,0.109438,0.099726
124,12.4,0.497946,-0.327038,4.890572,-0.118279,-0.999334,2.827433,0.911985,2.063139,0.46867,-0.493926,0.000714,-0.001109,0.007141,-0.011092
125,12.5,0.506253,-0.373163,4.84118,-0.156321,-0.986974,2.748894,0.903199,2.092286,0.460568,-0.504763,-0.008102,-0.010837,-0.081021,-0.108373
126,12.6,0.512168,-0.418838,4.790703,-0.193276,-0.971666,2.670354,0.896254,2.120349,0.445995,-0.523801,-0.014573,-0.019037,-0.145726,-0.190373
127,12.7,0.515657,-0.463301,4.738323,-0.228917,-0.953507,2.591814,0.891455,2.146509,0.427724,-0.549356,-0.018271,-0.025555,-0.182712,-0.25555
128,12.8,0.516767,-0.506059,4.683388,-0.263022,-0.932607,2.513274,0.888827,2.170113,0.408498,-0.579647,-0.019225,-0.030291,-0.192253,-0.302909
129,12.9,0.515582,-0.546892,4.625423,-0.295383,-0.909095,2.434734,0.888176,2.190689,0.39068,-0.612874,-0.017818,-0.033227,-0.178181,-0.332273
130,13.0,0.512189,-0.585812,4.564135,-0.325799,-0.883118,2.356194,0.889165,2.207941,0.376018,-0.647313,-0.014662,-0.034439,-0.146619,-0.34439
131,13.1,0.506635,-0.623001,4.499404,-0.354084,-0.854833,2.277655,0.891393,2.22175,0.365553,-0.681402,-0.010466,-0.034089,-0.104655,-0.340885
